"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-01","7.16","0.01","0.0","0.0",,"86","72","21.9","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-02","5.14","0.34","0.0","0.0",,"87","73","19.0","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-03","4.70","0.00","0.0","0.0",,"93","73","17.0",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-04","4.03","3.50","0.0","0.0",,"90","70","33.1","    1","    1","    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-05","2.91","1.26","0.0","0.0",,"86","71","15.0","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-06","8.05","0.00","0.0","0.0",,"89","71","30.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-07","7.83","0.00","0.0","0.0",,"94","71","27.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-08","5.14","0.00","0.0","0.0",,"91","71","16.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-09","6.04","0.00","0.0","0.0",,"87","68","25.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-10","9.84","0.00","0.0","0.0",,"89","70","27.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-11","8.28","0.00","0.0","0.0",,"92","74","21.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-12","10.29","0.00","0.0","0.0",,"92","79","28.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-13","12.97","0.10","0.0","0.0",,"91","79","28.0","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-14","11.18","0.00","0.0","0.0",,"94","79","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-15","10.29","0.00","0.0","0.0",,"96","77","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-16","10.51","0.00","0.0","0.0",,"96","75","23.9",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-17","11.18","0.00","0.0","0.0",,"94","77","23.0",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-18","10.29","0.00","0.0","0.0",,"95","79","25.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-19","2.91","0.00","0.0","0.0",,"96","75","25.9",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-20","11.18","0.00","0.0","0.0",,"96","76","25.1",,,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-21","15.88","0.00","0.0","0.0",,"92","78","31.1",,,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-22","9.62","0.45","0.0","0.0",,"92","76","25.9","    1",,,,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-23","11.18","0.00","0.0","0.0",,"96","80","23.0",,,,,"    1"
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-24","5.59","1.99","0.0","0.0",,"85","76","16.1","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-25","6.93","0.62","0.0","0.0",,"89","74","19.9","    1",,"    1",,
"USW00012977","HOUSTON SUGARLAND MEM, TX US","2017-06-26","6.49","0.10","0.0","0.0",,"91","75","29.1","    1",,"    1",,
