"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT21","WT22"
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-01","0.89","0.00",,,"89","47","8.1","12.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-02","1.12","0.00",,,"90","51","8.9","14.1","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-03","2.46","0.00",,,"83","55","10.1","14.1","    1",,,,,,,"    1",,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-04","1.34","0.00",,,"87","57","12.1","16.1","    1",,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-05","2.91","0.00",,,"92","57","13.0","18.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-06","4.92","0.00",,,"93","59","14.1","19.9",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-07","5.37","0.00",,,"87","61","14.1","19.9",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-08","7.16","0.68",,,"81","61","23.0","36.0","    1",,"    1",,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-09","5.14","0.00",,,"70","49","16.1","21.9",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-10","1.79","0.00",,,"73","44","8.9","15.0",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-11","1.57","0.00",,,"76","44","10.1","14.1",,,,,,,,,,,,,,,,,
"USW00053867","COLUMBIA OWENS DOWNTOWN AIRPORT, SC US","2010-04-12","1.12","0.00",,,"82","47","10.1","16.1",,,,,,,,,,,,,,,,,
