"STATION","NAME","DATE","AWND","PRCP","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10"
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-24","10.29","0.01","80","63","21.0","28.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-25","3.13","0.00","80","51","10.1","55.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-26","3.80","0.00","85","55","13.0","16.1","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-27","5.59","0.29","83","61","30.0","49.0","    1","    1","    1","    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-28","9.84","0.00","83","67","23.0","29.1","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-29","8.28","0.00","72","51","17.0","23.0",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-06-30","6.49","0.00","72","43","17.0","23.0",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-01","5.59","0.00","75","44","13.0","19.9",,,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-02","2.68","0.00","79","44","23.0","30.0","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-03","4.47","0.00","84","48","15.0","18.1","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-04","5.14","0.00","89","51","25.9","35.1","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-05","7.38","0.00","91","68","16.1","21.9","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-06","4.92","0.00","90","61","17.0","21.9","    1","    1",,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-07","3.36","0.00","93","66","13.0","17.0","    1",,,"    1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2010-07-08","3.36","0.19","90","66","23.0","25.9","    1","    1","    1","    1",
